Origen,Destino,Distancia carretera (km),Distancia 3D (km),Diferencia (km),Tiempo estimado (min)
Aldama,Ocozocoautla de Espinosa,136.034,137.211,1.178,146.0
Aldama,Ostuacán,246.397,248.267,1.87,231.9
Aldama,Osumacinta,88.806,90.353,1.547,143.5
Aldama,Oxchuc,92.234,93.227,0.993,114.2
Aldama,Palenque,265.72,268.129,2.408,283.3
Aldama,Pantelhó,76.546,77.964,1.418,112.0
Aldama,Pantepec,108.83,110.472,1.642,139.2
Aldama,Pichucalco,167.64,170.282,2.642,189.3
Aldama,Pijijiapan,324.254,325.847,1.592,274.2
Aldama,Pueblo Nuevo Solistahuacán,80.039,81.206,1.167,108.6
Aldama,Rayón,99.707,101.234,1.526,126.1
Aldama,Reforma,222.856,225.64,2.784,259.4
Aldama,Rincón Chamula San Pedro,88.519,89.749,1.23,117.9
Aldama,Sabanilla,135.977,138.372,2.395,193.1
Aldama,Salto de Agua,238.595,240.846,2.251,259.8
Aldama,San Andrés Duraznal,94.098,95.516,1.418,135.7
Aldama,San Cristóbal de las Casas,34.211,34.808,0.596,56.7
Aldama,San Fernando,118.388,119.579,1.191,138.8
Aldama,San Juan Cancuc,78.492,79.955,1.464,123.8
Aldama,San Lucas,67.327,68.285,0.958,110.6
